model,ppl_retain,mia_auc,canary_exposure_mu,canary_exposure_sd,targeted_extract_pct
replay-filter,45418.091855557526,0.4232098765432099,-1.8202418486277263,0.4258176899972672,0.0
oracle-retrain,45413.74441409473,0.4108641975308642,-1.8241583506266277,0.4284377877118032,0.0
baseline-init,50413.71830978629,,,,
